date,pm2.5
5/25/20,5.4
5/26/20,6.2
5/27/20,4.2
5/28/20,4.9
5/29/20,7.5
5/30/20,6.5
5/31/20,4.3
6/1/20,3.6
6/2/20,7.4
6/3/20,13.8
6/4/20,15.7
6/5/20,7.9
6/6/20,6.8
6/7/20,6.3
6/8/20,8.3
6/9/20,11.3
6/10/20,9
6/11/20,6.9
6/12/20,6.2
6/13/20,4.5
6/14/20,4.3
6/15/20,4.9
6/16/20,4.5
6/17/20,3
6/18/20,5.7
6/19/20,7.1
6/20/20,9.6
6/21/20,5.9
6/22/20,8.9
6/23/20,8.3
6/24/20,7.1
6/27/20,11.2
6/28/20,19.6
6/29/20,9.3
6/30/20,12.3
7/1/20,9.5
7/2/20,10.9
7/3/20,15.4
7/4/20,14.5
7/5/20,11.6
7/6/20,13.6
7/7/20,14
7/8/20,8.6
7/9/20,5.4
7/10/20,5.1
7/11/20,6
7/12/20,7.5
7/13/20,7.8
7/14/20,9.8
7/15/20,9
7/16/20,6.7
7/17/20,8.4
7/18/20,11.1
7/19/20,10.8
7/20/20,12
7/21/20,11.8
7/22/20,6.8
7/23/20,5.4
7/24/20,5.3
7/25/20,5.5
7/26/20,9.7
7/27/20,10.4
7/28/20,5.8
7/29/20,7
7/30/20,8.3
7/31/20,5.1
8/1/20,5.3
8/2/20,9.6
8/3/20,6.9
8/4/20,4.9
8/5/20,7.1
8/6/20,5.6
8/7/20,5.3
8/8/20,6.9
8/9/20,7.5
8/10/20,9.5
8/11/20,10.6
8/12/20,8.1
8/13/20,5.5
8/14/20,3.8
8/15/20,7.6
8/16/20,4.4
8/17/20,7
8/18/20,8
8/19/20,7.8
8/20/20,8.1
8/21/20,8
8/22/20,5.7
8/23/20,7.7
8/24/20,8.8
8/25/20,10
8/26/20,8
8/27/20,10.5
8/28/20,10.8
8/29/20,6.1
8/30/20,6.2
8/31/20,5.5
9/1/20,5.4
9/2/20,8.3
9/3/20,11.7
9/4/20,9.7
9/5/20,5.7
9/6/20,6.9
9/7/20,7.6
9/8/20,6.1
9/9/20,4.6
9/10/20,2.9
9/11/20,6.6
9/12/20,7.6
9/13/20,6.9
9/14/20,6.7
9/15/20,4.1
9/16/20,4.9
9/17/20,4
9/18/20,9.1
9/19/20,4
9/20/20,4.2
9/21/20,3.9
9/22/20,4.8
9/23/20,5.7
9/24/20,9
9/25/20,7.6
9/26/20,5.5
9/27/20,7.5
9/28/20,8.6
9/29/20,7.3
9/30/20,4.9
10/1/20,6.2
10/2/20,4.5
10/3/20,5.3
10/4/20,6.6
10/5/20,6.5
10/6/20,9.3
10/7/20,13.3
10/8/20,7
10/9/20,5.7
10/10/20,8.3
10/11/20,7.4
10/12/20,1.8
10/13/20,4.1
10/14/20,6.3
10/15/20,8.2
10/16/20,6
10/17/20,6.7
10/18/20,6.7
10/19/20,6.8
10/20/20,9.6
10/21/20,7.3
10/22/20,7.5
10/23/20,6.7
10/24/20,7
10/25/20,3.4
10/26/20,8
10/27/20,8.6
10/28/20,13.6
10/29/20,9
10/30/20,1.9
10/31/20,4.7
11/1/20,6.2
11/2/20,2.9
11/3/20,5.3
11/4/20,8.9
11/5/20,9.9
11/6/20,13.6
11/7/20,17
11/8/20,15.9
11/9/20,10.6
11/10/20,10.4
11/11/20,7
11/12/20,4.8
11/13/20,9.7
11/14/20,11.6
11/15/20,8.2
11/16/20,2.9
11/17/20,3
11/18/20,5.5
11/19/20,9.1
11/20/20,8.9
11/21/20,14.3
11/22/20,16.9
11/23/20,6.1
11/24/20,8
11/25/20,8.4
11/26/20,7.3
11/27/20,7.8
11/28/20,11.5
11/29/20,11.6
11/30/20,4.5
12/1/20,1.8
12/2/20,4.6
12/3/20,6.6
12/4/20,7.9
12/5/20,5.9
12/6/20,11.3
12/7/20,6.7
12/8/20,6.4
12/9/20,10.2
12/10/20,17.6
12/11/20,15.4
12/12/20,17.1
12/13/20,11.3
12/14/20,6.1
12/15/20,7.2
12/16/20,5.1
12/17/20,5.6
12/18/20,9.2
12/19/20,10.1
12/20/20,12.5
12/21/20,9.7
12/22/20,4.4
12/23/20,7.8
12/24/20,4.8
12/25/20,2.8
12/26/20,4.6
12/27/20,9.5
12/28/20,8.6
12/29/20,7.3
12/30/20,6.8
12/31/20,7
